"Gene","Gene_Name","Entrez_ID","GO_ID","GO_Term","GO_Definition","GO_Ontology","Match_Reason","Source","Phenotype"
"NFE2L2","NFE2 like bZIP transcription factor 2","4780","GO:0046223","aflatoxin catabolic process","The chemical reactions and pathways resulting in the breakdown of aflatoxin, a fungal metabolite found as a contaminant in moldy grains that induces liver cancer. Aflatoxin induces a G to T transversion at codon 249 of p53, leading to its inactivation. Aflatoxin is converted to a chemical carcinogen by P450.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"CYP1A2","cytochrome P450 family 1 subfamily A member 2","1544","GO:0046222","aflatoxin metabolic process","The chemical reactions and pathways involving aflatoxin, a fungal metabolite found as a contaminant in moldy grains that induces liver cancer. Aflatoxin induces a G to T transversion at codon 249 of p53, leading to its inactivation. Aflatoxin is converted to a chemical carcinogen by P450.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"CYP2A13","cytochrome P450 family 2 subfamily A member 13","1553","GO:0046222","aflatoxin metabolic process","The chemical reactions and pathways involving aflatoxin, a fungal metabolite found as a contaminant in moldy grains that induces liver cancer. Aflatoxin induces a G to T transversion at codon 249 of p53, leading to its inactivation. Aflatoxin is converted to a chemical carcinogen by P450.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"CYP2W1","cytochrome P450 family 2 subfamily W member 1","54905","GO:0046222","aflatoxin metabolic process","The chemical reactions and pathways involving aflatoxin, a fungal metabolite found as a contaminant in moldy grains that induces liver cancer. Aflatoxin induces a G to T transversion at codon 249 of p53, leading to its inactivation. Aflatoxin is converted to a chemical carcinogen by P450.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"CYP3A4","cytochrome P450 family 3 subfamily A member 4","1576","GO:0046222","aflatoxin metabolic process","The chemical reactions and pathways involving aflatoxin, a fungal metabolite found as a contaminant in moldy grains that induces liver cancer. Aflatoxin induces a G to T transversion at codon 249 of p53, leading to its inactivation. Aflatoxin is converted to a chemical carcinogen by P450.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"CYP3A5","cytochrome P450 family 3 subfamily A member 5","1577","GO:0046222","aflatoxin metabolic process","The chemical reactions and pathways involving aflatoxin, a fungal metabolite found as a contaminant in moldy grains that induces liver cancer. Aflatoxin induces a G to T transversion at codon 249 of p53, leading to its inactivation. Aflatoxin is converted to a chemical carcinogen by P450.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"NFE2L2","NFE2 like bZIP transcription factor 2","4780","GO:0046222","aflatoxin metabolic process","The chemical reactions and pathways involving aflatoxin, a fungal metabolite found as a contaminant in moldy grains that induces liver cancer. Aflatoxin induces a G to T transversion at codon 249 of p53, leading to its inactivation. Aflatoxin is converted to a chemical carcinogen by P450.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1A1","aldo-keto reductase family 1 member A1","10327","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1B1","aldo-keto reductase family 1 member B","231","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1B10","aldo-keto reductase family 1 member B10","57016","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C1","aldo-keto reductase family 1 member C1","1645","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C1","aldo-keto reductase family 1 member C1","1645","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C2","aldo-keto reductase family 1 member C2","1646","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C2","aldo-keto reductase family 1 member C2","1646","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C3","aldo-keto reductase family 1 member C3","8644","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C3","aldo-keto reductase family 1 member C3","8644","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C4","aldo-keto reductase family 1 member C4","1109","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C4","aldo-keto reductase family 1 member C4","1109","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR7A2","aldo-keto reductase family 7 member A2","8574","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"CBR4","carbonyl reductase 4","84869","GO:0044597","daunorubicin metabolic process","The chemical reactions and pathways involving daunorubicin, a chemotherapeutic of the anthracycline family that is given as a treatment for some types of cancer.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"HELQ","helicase, POLQ like","113510","GO:0097681","double-strand break repair via alternative nonhomologous end joining","An instance of double-strand break repair via nonhomologous end joining that is independent of factors important for V(D)J recombination (as opposed to classical nonhomologous end joining). It often results in a deletion with microhomology (i.e. 5-25bp homology) at the repair junction. Among different subclasses of nonhomologous end joining (NHEJ), alternative NHEJ appears to play a significant role in the etiology of mutations that arise during cancer development and treatment.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"HMCES","5-hydroxymethylcytosine binding, ES cell specific","56941","GO:0097681","double-strand break repair via alternative nonhomologous end joining","An instance of double-strand break repair via nonhomologous end joining that is independent of factors important for V(D)J recombination (as opposed to classical nonhomologous end joining). It often results in a deletion with microhomology (i.e. 5-25bp homology) at the repair junction. Among different subclasses of nonhomologous end joining (NHEJ), alternative NHEJ appears to play a significant role in the etiology of mutations that arise during cancer development and treatment.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"POLQ","DNA polymerase theta","10721","GO:0097681","double-strand break repair via alternative nonhomologous end joining","An instance of double-strand break repair via nonhomologous end joining that is independent of factors important for V(D)J recombination (as opposed to classical nonhomologous end joining). It often results in a deletion with microhomology (i.e. 5-25bp homology) at the repair junction. Among different subclasses of nonhomologous end joining (NHEJ), alternative NHEJ appears to play a significant role in the etiology of mutations that arise during cancer development and treatment.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"POLQ","DNA polymerase theta","10721","GO:0097681","double-strand break repair via alternative nonhomologous end joining","An instance of double-strand break repair via nonhomologous end joining that is independent of factors important for V(D)J recombination (as opposed to classical nonhomologous end joining). It often results in a deletion with microhomology (i.e. 5-25bp homology) at the repair junction. Among different subclasses of nonhomologous end joining (NHEJ), alternative NHEJ appears to play a significant role in the etiology of mutations that arise during cancer development and treatment.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"PRKDC","protein kinase, DNA-activated, catalytic subunit","5591","GO:0097681","double-strand break repair via alternative nonhomologous end joining","An instance of double-strand break repair via nonhomologous end joining that is independent of factors important for V(D)J recombination (as opposed to classical nonhomologous end joining). It often results in a deletion with microhomology (i.e. 5-25bp homology) at the repair junction. Among different subclasses of nonhomologous end joining (NHEJ), alternative NHEJ appears to play a significant role in the etiology of mutations that arise during cancer development and treatment.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1A1","aldo-keto reductase family 1 member A1","10327","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1B1","aldo-keto reductase family 1 member B","231","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1B10","aldo-keto reductase family 1 member B10","57016","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C1","aldo-keto reductase family 1 member C1","1645","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C1","aldo-keto reductase family 1 member C1","1645","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C2","aldo-keto reductase family 1 member C2","1646","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C2","aldo-keto reductase family 1 member C2","1646","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C3","aldo-keto reductase family 1 member C3","8644","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C3","aldo-keto reductase family 1 member C3","8644","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C4","aldo-keto reductase family 1 member C4","1109","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR1C4","aldo-keto reductase family 1 member C4","1109","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"AKR7A2","aldo-keto reductase family 7 member A2","8574","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"CBR4","carbonyl reductase 4","84869","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
"SULT1C4","sulfotransferase family 1C member 4","27233","GO:0044598","doxorubicin metabolic process","The chemical reactions and pathways involving doxorubicin, an anthracycline antibiotic, used in cancer chemotherapy.","BP","DEFINITION:\bcancer\b","Gene_Ontology","cancer"
