"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"PLAU","5328",1,"38761291","cancer","PubMed+PubTator3"
"PLEKHS1","79949",1,"25261935","cancer","PubMed+PubTator3"
"PLG","5340",1,"41270069","cancer","PubMed+PubTator3"
"PLLP","51090",1,"39872525","cancer","PubMed+PubTator3"
"Plxna2","18845",1,"39067134","cancer","PubMed+PubTator3"
"PMEPA1","56937",1,"23158542","cancer","PubMed+PubTator3"
"PMS2","5395",1,"24448331","cancer","PubMed+PubTator3"
"PNLIP","5406",1,"28198679","cancer","PubMed+PubTator3"
"POGLUT3","143888",1,"38878676","cancer","PubMed+PubTator3"
"POLI","11201",1,"41188790","cancer","PubMed+PubTator3"
"poly ADP-ribose polymerase","142",1,"38098088","cancer","PubMed+PubTator3"
"POP4","10775",1,"22174824","cancer","PubMed+PubTator3"
"POSTN","10631",1,"33280513","cancer","PubMed+PubTator3"
"POU class 3 homeobox 2","5454",1,"25395235","cancer","PubMed+PubTator3"
"POU3F2","5454",1,"25395235","cancer","PubMed+PubTator3"
"POU4F2","5458",1,"19457610","cancer","PubMed+PubTator3"
"PPA2","27068",1,"38878676","cancer","PubMed+PubTator3"
"PPAR","5465",1,"31684858","cancer","PubMed+PubTator3"
"PPARA","5465",1,"22930530","cancer","PubMed+PubTator3"
"PPARgamma","5468",1,"28886127","cancer","PubMed+PubTator3"
"PPIH","10465",1,"40895540","cancer","PubMed+PubTator3"
"PPIP5K2","23262",1,"39002386","cancer","PubMed+PubTator3"
"PPP1R10","5514",1,"40205015","cancer","PubMed+PubTator3"
"PPP1R2","5504",1,"39789109","cancer","PubMed+PubTator3"
"PPP2R2A","5520",1,"22522925","cancer","PubMed+PubTator3"
"PR","5241",1,"27386569","cancer","PubMed+PubTator3"
"pRB","5925",1,"34308964","cancer","PubMed+PubTator3"
"PRC1","9055",1,"39002386","cancer","PubMed+PubTator3"
"PRDM6","93166",1,"28726821","cancer","PubMed+PubTator3"
"PRDX1","5052",1,"22445993","cancer","PubMed+PubTator3"
"pregnane X receptor","8856",1,"16584379","cancer","PubMed+PubTator3"
"PRKACB","5567",1,"22034905","cancer","PubMed+PubTator3"
"PRKACG","5568",1,"30289875","cancer","PubMed+PubTator3"
"PRMT8","56341",1,"30289875","cancer","PubMed+PubTator3"
"PROCR","10544",1,"25572802","cancer","PubMed+PubTator3"
"programmed cell death protein 1","5133",1,"41168822","cancer","PubMed+PubTator3"
"prostate-specific antigen","354",1,"38845201","cancer","PubMed+PubTator3"
"Prostate-Specific Antigen","354",1,"38845201","cancer","PubMed+PubTator3"
"protocadherin alpha4","56144",1,"27842508","cancer","PubMed+PubTator3"
"PROX1","5629",1,"21493669","cancer","PubMed+PubTator3"
"PRSS12","8492",1,"27599611","cancer","PubMed+PubTator3"
"PSA","354",1,"38845201","cancer","PubMed+PubTator3"
"PSAT1","29968",1,"39872525","cancer","PubMed+PubTator3"
"PSG11","5680",1,"25551281","cancer","PubMed+PubTator3"
"PSRC1","84722",1,"39872525","cancer","PubMed+PubTator3"
"PTBP1","5725",1,"25913416","cancer","PubMed+PubTator3"
"PTK2B","2185",1,"32812852","cancer","PubMed+PubTator3"
"PTPN13","5783",1,"26683690","cancer","PubMed+PubTator3"
"PTPRM","5797",1,"26683690","cancer","PubMed+PubTator3"
"PVRIG","79037",1,"37542274","cancer","PubMed+PubTator3"
"PVT1","5820",1,"28719033","cancer","PubMed+PubTator3"
"PXR","8856",1,"16584379","cancer","PubMed+PubTator3"
"Pyk2","2185",1,"27367190","cancer","PubMed+PubTator3"
"PYY","5697",1,"38878676","cancer","PubMed+PubTator3"
"QKI","9444",1,"25913416","cancer","PubMed+PubTator3"
"RAB25","57111",1,"22174824","cancer","PubMed+PubTator3"
"RACGAP1","29127",1,"32616754","cancer","PubMed+PubTator3"
"RAD51D","5892",1,"29360550","cancer","PubMed+PubTator3"
"RAF","22882",1,"23171949","cancer","PubMed+PubTator3"
"Raf1","5894",1,"22129094","cancer","PubMed+PubTator3"
"Ramp1","51801",1,"39067134","cancer","PubMed+PubTator3"
"RASA1","5921",1,"35702826","cancer","PubMed+PubTator3"
"RASSF8","11228",1,"25650807","cancer","PubMed+PubTator3"
"Rb1","19645",1,"22941188","cancer","PubMed+PubTator3"
"RBFOX1","54715",1,"28188128","cancer","PubMed+PubTator3"
"RBM 8A","9939",1,"29936137","cancer","PubMed+PubTator3"
"RBM25","58517",1,"34839022","cancer","PubMed+PubTator3"
"RBM5","10181",1,"25934800","cancer","PubMed+PubTator3"
"RBMS1","5937",1,"25798919","cancer","PubMed+PubTator3"
"RCC2","55920",1,"40129067","cancer","PubMed+PubTator3"
"RCCD1","91433",1,"28362817","cancer","PubMed+PubTator3"
"REG1A","5967",1,"36116415","cancer","PubMed+PubTator3"
"regulatory factor X-1","5989",1,"25395235","cancer","PubMed+PubTator3"
"RELA","5970",1,"26110572","cancer","PubMed+PubTator3"
"RELN","5649",1,"22980976","cancer","PubMed+PubTator3"
"REN","5972",1,"19457610","cancer","PubMed+PubTator3"
"REP15","387849",1,"32573269","cancer","PubMed+PubTator3"
"Rer1","67830",1,"39067134","cancer","PubMed+PubTator3"
"RET","5979",1,"39126824","cancer","PubMed+PubTator3"
"RFX1","5989",1,"25395235","cancer","PubMed+PubTator3"
"RFX2","5990",1,"25798919","cancer","PubMed+PubTator3"
"RFX6","222546",1,"26398868","cancer","PubMed+PubTator3"
"RGMB","285704",1,"27671336","cancer","PubMed+PubTator3"
"RhoA","387",1,"41310897","cancer","PubMed+PubTator3"
"Rhobtb1","69288",1,"39067134","cancer","PubMed+PubTator3"
"RHPN2","85415",1,"41540004","cancer","PubMed+PubTator3"
"RIF1","55183",1,"41188790","cancer","PubMed+PubTator3"
"RIMKLB","57494",1,"27599611","cancer","PubMed+PubTator3"
"RNF38","152006",1,"36812239","cancer","PubMed+PubTator3"
"RNF43","54894",1,"35180847","cancer","PubMed+PubTator3"
"Rnr3","854744",1,"25721128","cancer","PubMed+PubTator3"
"RNR3","854744",1,"25721128","cancer","PubMed+PubTator3"
"ROBO2","6092",1,"25719666","cancer","PubMed+PubTator3"
"ROS1","6098",1,"22980976","cancer","PubMed+PubTator3"
"RPL41","6171",1,"34839022","cancer","PubMed+PubTator3"
"Rprd1b","70470",1,"39067134","cancer","PubMed+PubTator3"
"RPS18","6222",1,"39623312","cancer","PubMed+PubTator3"
"RPS6KA3","6197",1,"26099527","cancer","PubMed+PubTator3"
"Rras2","66922",1,"26168291","cancer","PubMed+PubTator3"
"RRAS2","22800",1,"28223168","cancer","PubMed+PubTator3"
"RRM2","6241",1,"32902196","cancer","PubMed+PubTator3"
"RSPO1","284654",1,"34965383","cancer","PubMed+PubTator3"
"RSPO3","84870",1,"34021172","cancer","PubMed+PubTator3"
"RUNX1","861",1,"30289875","cancer","PubMed+PubTator3"
"RUNX3","864",1,"17171680","cancer","PubMed+PubTator3"
"RUVBL1","56505",1,"37541187","cancer","PubMed+PubTator3"
"RXRA","6256",1,"28583088","cancer","PubMed+PubTator3"
"RYR3","6263",1,"29408647","cancer","PubMed+PubTator3"
"SAMMSON","101927152",1,"28128360","cancer","PubMed+PubTator3"
"SCP2","6342",1,"39878408","cancer","PubMed+PubTator3"
"SDC1","6382",1,"36116415","cancer","PubMed+PubTator3"
"SDHD","6392",1,"25261935","cancer","PubMed+PubTator3"
"SEC24B","10427",1,"32812852","cancer","PubMed+PubTator3"
"secret phosphoprotein 1","NA",1,"34308964","cancer","PubMed+PubTator3"
"secreted phosphoprotein 1","6696",1,"41713536","cancer","PubMed+PubTator3"
"Secreted Protein Acidic and Cysteine Rich","6678",1,"38287261","cancer","PubMed+PubTator3"
"SECTM1","6398",1,"39878408","cancer","PubMed+PubTator3"
"SEMA3D","223117",1,"25581428","cancer","PubMed+PubTator3"
"SEMA4A","64218",1,"41415280","cancer","PubMed+PubTator3"
"SEMA4D","10507",1,"40447568","cancer","PubMed+PubTator3"
"Sepsecs","211006",1,"39067134","cancer","PubMed+PubTator3"
"Serine/Threonine Kinase 24","8428",1,"41168822","cancer","PubMed+PubTator3"
"serine/threonine protein kinase","150094",1,"36116415","cancer","PubMed+PubTator3"
"SERPINB5","5268",1,"32079541","cancer","PubMed+PubTator3"
"SERPINH1","871",1,"25572802","cancer","PubMed+PubTator3"
"SETD1B","23067",1,"24670651","cancer","PubMed+PubTator3"
"sex hormone-binding globulin","6462",1,"33595913","cancer","PubMed+PubTator3"
"SF3B1","23451",1,"28188128","cancer","PubMed+PubTator3"
"SFRP1","6422",1,"23302999","cancer","PubMed+PubTator3"
"SFRS2","6427",1,"25913416","cancer","PubMed+PubTator3"
"SGOL1","151648",1,"26642714","cancer","PubMed+PubTator3"
"SH2D1B","117157",1,"41373777","cancer","PubMed+PubTator3"
"SHBG","6462",1,"33595913","cancer","PubMed+PubTator3"
"SHH","6469",1,"40129067","cancer","PubMed+PubTator3"
"SHOX2","6474",1,"35414113","cancer","PubMed+PubTator3"
"SHPRH","257218",1,"38890444","cancer","PubMed+PubTator3"
"SIM2","6493",1,"40059124","cancer","PubMed+PubTator3"
"SIN3","25942",1,"28886127","cancer","PubMed+PubTator3"
"SKA1","220134",1,"32902196","cancer","PubMed+PubTator3"
"SKA3","221150",1,"32902196","cancer","PubMed+PubTator3"
"SKAP1","8631",1,"34675350","cancer","PubMed+PubTator3"
"Skp2","6502",1,"39324133","cancer","PubMed+PubTator3"
"SLC22A3","6581",1,"22730461","cancer","PubMed+PubTator3"
"SLC2A1","6513",1,"41415280","cancer","PubMed+PubTator3"
"SLC30A10","55532",1,"34021172","cancer","PubMed+PubTator3"
"SLC30A8","169026",1,"23884293","cancer","PubMed+PubTator3"
"SLC38A3","10991",1,"40554679","cancer","PubMed+PubTator3"
"SLC39A1","27173",1,"39878408","cancer","PubMed+PubTator3"
"SLC39A3","29985",1,"39789109","cancer","PubMed+PubTator3"
"SLC7A5","8140",1,"26683690","cancer","PubMed+PubTator3"
"SLFN11","91607",1,"31278746","cancer","PubMed+PubTator3"
"SLIT2","9353",1,"22941188","cancer","PubMed+PubTator3"
"SLITRK1","114798",1,"27671336","cancer","PubMed+PubTator3"
"SLK","9748",1,"39910817","cancer","PubMed+PubTator3"
"SLPI","6590",1,"22445993","cancer","PubMed+PubTator3"
"SMAD3","4088",1,"36812239","cancer","PubMed+PubTator3"
"SMAD6","4091",1,"26683690","cancer","PubMed+PubTator3"
"SMARCD1","6602",1,"33319857","cancer","PubMed+PubTator3"
"SMC2","10592",1,"39002386","cancer","PubMed+PubTator3"
"SMC4","10051",1,"32616754","cancer","PubMed+PubTator3"
"SMO","6608",1,"40129067","cancer","PubMed+PubTator3"
"SMR","147719",1,"41231350","cancer","PubMed+PubTator3"
"SNF2 Histone Linker PHD RING Helicase","257218",1,"38890444","cancer","PubMed+PubTator3"
"SNIP1","79753",1,"34965383","cancer","PubMed+PubTator3"
"SNN","8303",1,"25572802","cancer","PubMed+PubTator3"
"SNX6","58533",1,"28339086","cancer","PubMed+PubTator3"
"sonic hedgehog","6469",1,"40129067","cancer","PubMed+PubTator3"
"SOX17","64321",1,"33135729","cancer","PubMed+PubTator3"
"SOX2","6657",1,"28719033","cancer","PubMed+PubTator3"
"SOX2-OT","347689",1,"28719033","cancer","PubMed+PubTator3"
"SOX9","6662",1,"22665440","cancer","PubMed+PubTator3"
"SPARC","6678",1,"38287261","cancer","PubMed+PubTator3"
"SPDYA","245711",1,"22457049","cancer","PubMed+PubTator3"
"SPHKAP","80309",1,"22479372","cancer","PubMed+PubTator3"
"SPX","80763",1,"41231350","cancer","PubMed+PubTator3"
"SREK1","140890",1,"36194576","cancer","PubMed+PubTator3"
"SRSF1","6426",1,"29936137","cancer","PubMed+PubTator3"
"SRSF5","6430",1,"33142748","cancer","PubMed+PubTator3"
"STARD3","10948",1,"39002386","cancer","PubMed+PubTator3"
"Stat3","20848",1,"25539728","cancer","PubMed+PubTator3"
"STK24","8428",1,"41168822","cancer","PubMed+PubTator3"
"STN1","79991",1,"39910817","cancer","PubMed+PubTator3"
"STX1B","112755",1,"29378629","cancer","PubMed+PubTator3"
"STX2","2054",1,"40755754","cancer","PubMed+PubTator3"
"Stx6","58244",1,"39067134","cancer","PubMed+PubTator3"
"STXBP5","134957",1,"27338266","cancer","PubMed+PubTator3"
"SUPT4H1","6827",1,"39878408","cancer","PubMed+PubTator3"
"SUV39H1","6839",1,"26136424","cancer","PubMed+PubTator3"
"SUV39H2","79723",1,"26136424","cancer","PubMed+PubTator3"
"SUZ12","23512",1,"27461342","cancer","PubMed+PubTator3"
"SYK","6850",1,"22237022","cancer","PubMed+PubTator3"
"TACC1","6867",1,"39878408","cancer","PubMed+PubTator3"
"TAGAP","117289",1,"39878408","cancer","PubMed+PubTator3"
"TAL1","6886",1,"28854983","cancer","PubMed+PubTator3"
"TAPBP","6892",1,"41270069","cancer","PubMed+PubTator3"
"Tbc1d31","210544",1,"39067134","cancer","PubMed+PubTator3"
"TBC1D5","9779",1,"17171680","cancer","PubMed+PubTator3"
"TCF3","6929",1,"17344859","cancer","PubMed+PubTator3"
"TCF7L2","6934",1,"16804532","cancer","PubMed+PubTator3"
"TCR","6962",1,"22522925","cancer","PubMed+PubTator3"
"TDO2","6999",1,"40175565","cancer","PubMed+PubTator3"
"TEAD1","7003",1,"41415280","cancer","PubMed+PubTator3"
"TEAD3","7005",1,"40205015","cancer","PubMed+PubTator3"
"TEAD4","7004",1,"32332753","cancer","PubMed+PubTator3"
"Telomerase reverse transcriptase","7015",1,"30912334","cancer","PubMed+PubTator3"
"TET1","80312",1,"41415280","cancer","PubMed+PubTator3"
"tetherin","684",1,"39420005","cancer","PubMed+PubTator3"
"TEX14","56155",1,"30289875","cancer","PubMed+PubTator3"
"TFAP2B","7021",1,"40274661","cancer","PubMed+PubTator3"
"TFAP4","7023",1,"28195176","cancer","PubMed+PubTator3"
"TFE3","7030",1,"23038766","cancer","PubMed+PubTator3"
"TFEB","7942",1,"23038766","cancer","PubMed+PubTator3"
"TFR2","7036",1,"39002386","cancer","PubMed+PubTator3"
"TFRC","7037",1,"41067362","cancer","PubMed+PubTator3"
"TGFbetaR2","7048",1,"25579546","cancer","PubMed+PubTator3"
"TGFBR2","7048",1,"35180847","cancer","PubMed+PubTator3"
"THBS1","7057",1,"26829059","cancer","PubMed+PubTator3"
"THRA","7067",1,"19457610","cancer","PubMed+PubTator3"
"thrombospondin-1","7057",1,"26829059","cancer","PubMed+PubTator3"
"THSD1","55901",1,"22664866","cancer","PubMed+PubTator3"
"Thyroid transcription factor-1","7080",1,"31782890","cancer","PubMed+PubTator3"
"TIAR","7073",1,"25913416","cancer","PubMed+PubTator3"
"TIMP1","7076",1,"40936758","cancer","PubMed+PubTator3"
"TIMP4","7079",1,"23302999","cancer","PubMed+PubTator3"
"TK1","7083",1,"39324133","cancer","PubMed+PubTator3"
"TLN1","7094",1,"28339086","cancer","PubMed+PubTator3"
"TLR1","7096",1,"41713536","cancer","PubMed+PubTator3"
"TMEM14C","51522",1,"25572802","cancer","PubMed+PubTator3"
"TMEM67","91147",1,"36194576","cancer","PubMed+PubTator3"
"TMEM79","84283",1,"26237329","cancer","PubMed+PubTator3"
"TMPRSS2","7113",1,"23695551","cancer","PubMed+PubTator3"
"TMPRSS2-","7113",1,"23695551","cancer","PubMed+PubTator3"
"TNF","7124",1,"27034531","cancer","PubMed+PubTator3"
"TNFAIP3","7128",1,"31235759","cancer","PubMed+PubTator3"
"TNFalpha","7124",1,"41713536","cancer","PubMed+PubTator3"
"TNFRSF6B.","8771",1,"39910817","cancer","PubMed+PubTator3"
"TNM","10178",1,"32616754","cancer","PubMed+PubTator3"
"Tnr","21960",1,"39067134","cancer","PubMed+PubTator3"
"TNS4","84951",1,"40059124","cancer","PubMed+PubTator3"
"TOX3","27324",1,"19092773","cancer","PubMed+PubTator3"
"tP53","7157",1,"26683690","cancer","PubMed+PubTator3"
"Tp53","22059",1,"22941188","cancer","PubMed+PubTator3"
"TP53INP2","58476",1,"40755754","cancer","PubMed+PubTator3"
"TP63","8626",1,"32857918","cancer","PubMed+PubTator3"
"TPD52","7163",1,"30243646","cancer","PubMed+PubTator3"
"TPM3","7170",1,"38878676","cancer","PubMed+PubTator3"
"TPP1","1200",1,"23884293","cancer","PubMed+PubTator3"
"TRAF1","7185",1,"39878408","cancer","PubMed+PubTator3"
"TRAF3","7187",1,"25631445","cancer","PubMed+PubTator3"
"Traf3ip1","74019",1,"39067134","cancer","PubMed+PubTator3"
"transferrin receptor","7037",1,"41067362","cancer","PubMed+PubTator3"
"TRIM59","286827",1,"39878408","cancer","PubMed+PubTator3"
"TRIP13","9319",1,"39324133","cancer","PubMed+PubTator3"
"Trmt1l","98685",1,"39067134","cancer","PubMed+PubTator3"
"TROAP","10024",1,"39324133","cancer","PubMed+PubTator3"
"TRPM2","7226",1,"38761291","cancer","PubMed+PubTator3"
"Tsen15","66637",1,"39067134","cancer","PubMed+PubTator3"
"TSPO","706",1,"39878408","cancer","PubMed+PubTator3"
"TTF-1","7270",1,"31782890","cancer","PubMed+PubTator3"
"Tti1","75425",1,"39067134","cancer","PubMed+PubTator3"
"TTN","7273",1,"35550340","cancer","PubMed+PubTator3"
"TUBB","203068",1,"40205015","cancer","PubMed+PubTator3"
"TUSC5","286753",1,"23302999","cancer","PubMed+PubTator3"
"TXN","7295",1,"41540004","cancer","PubMed+PubTator3"
"UBB","7314",1,"33142748","cancer","PubMed+PubTator3"
"Ubiquitin C.","7316",1,"26680018","cancer","PubMed+PubTator3"
"Ubr2","224826",1,"25539728","cancer","PubMed+PubTator3"
"UDP-glucuronate decarboxylase 1","80146",1,"38748784","cancer","PubMed+PubTator3"
"UGT1A8","54576",1,"28339086","cancer","PubMed+PubTator3"
"UGT2","7355",1,"33595913","cancer","PubMed+PubTator3"
"UIMC1","51720",1,"32920123","cancer","PubMed+PubTator3"
"UNKL","64718",1,"38502355","cancer","PubMed+PubTator3"
"UPF2","26019",1,"34839022","cancer","PubMed+PubTator3"
"upstream transcription factor 1","7391",1,"25395235","cancer","PubMed+PubTator3"
"UQCRB","7381",1,"22174824","cancer","PubMed+PubTator3"
"USF1","7391",1,"25395235","cancer","PubMed+PubTator3"
"UXS1","80146",1,"38748784","cancer","PubMed+PubTator3"
"VAMP8","8673",1,"40038097","cancer","PubMed+PubTator3"
"vascular endothelial growth factor A","7422",1,"32493953","cancer","PubMed+PubTator3"
"VAV3","10451",1,"20525369","cancer","PubMed+PubTator3"
"VIM","7431",1,"28886127","cancer","PubMed+PubTator3"
"vimentin","7431",1,"28886127","cancer","PubMed+PubTator3"
"vitamin D receptor","7421",1,"16584379","cancer","PubMed+PubTator3"
"VPS13C","54832",1,"28339086","cancer","PubMed+PubTator3"
"VWF","7450",1,"26683690","cancer","PubMed+PubTator3"
"WDPCP","51057",1,"41188790","cancer","PubMed+PubTator3"
"WDR74","54663",1,"25261935","cancer","PubMed+PubTator3"
"WFDC2","10406",1,"33135729","cancer","PubMed+PubTator3"
"WNK1","65125",1,"17578925","cancer","PubMed+PubTator3"
"WNK1-4","65125;65268;65267;65266",1,"17578925","cancer","PubMed+PubTator3"
"WNK2","65268",1,"17578925","cancer","PubMed+PubTator3"
"WNK4","65266",1,"41006377","cancer","PubMed+PubTator3"
"WNT","NA",1,"25631445","cancer","PubMed+PubTator3"
"WWOX","51741",1,"25934800","cancer","PubMed+PubTator3"
"XBP1","7494",1,"39623312","cancer","PubMed+PubTator3"
"YBX2","51087",1,"33638948","cancer","PubMed+PubTator3"
"YIF1B","90522",1,"39878408","cancer","PubMed+PubTator3"
"ZAK","51776",1,"24807215","cancer","PubMed+PubTator3"
"ZBTB7B","51043",1,"39878408","cancer","PubMed+PubTator3"
"ZEB2","9839",1,"25798919","cancer","PubMed+PubTator3"
"ZIC1","7545",1,"29378629","cancer","PubMed+PubTator3"
"ZKSCAN4","387032",1,"41099493","cancer","PubMed+PubTator3"
"ZNF148","7707",1,"39878408","cancer","PubMed+PubTator3"
"ZNF605","100289635",1,"28339086","cancer","PubMed+PubTator3"
"ZNF667","63934",1,"32869528","cancer","PubMed+PubTator3"
"ZNF737","100129842",1,"39789109","cancer","PubMed+PubTator3"
"ZNF793","390927",1,"39878408","cancer","PubMed+PubTator3"
"ZSCAN12","9753",1,"32332753","cancer","PubMed+PubTator3"
"ZSCAN16","80345",1,"32332753","cancer","PubMed+PubTator3"
"ZSCAN29","146050",1,"28339086","cancer","PubMed+PubTator3"
