"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"ALPK1","Q96QP1","Alpha-protein kinase 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"AMACR","Q9UHK6","Alpha-methylacyl-CoA racemase","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"ATP1A2","P50993","Sodium/potassium-transporting ATPase subunit alpha-2","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"ATP1A3","P13637","Sodium/potassium-transporting ATPase subunit alpha-3","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"CACH4","O00555","Voltage-dependent P/Q-type calcium channel subunit alpha-1A","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"CACN3","O00555","Voltage-dependent P/Q-type calcium channel subunit alpha-1A","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"CACNA1A","O00555","Voltage-dependent P/Q-type calcium channel subunit alpha-1A","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"CACNL1A4","O00555","Voltage-dependent P/Q-type calcium channel subunit alpha-1A","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"CSNK1D","P48730","Casein kinase I isoform delta","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"CST3","P01034","Cystatin-C","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"EAAT1","P43003","Excitatory amino acid transporter 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"G19P1","P14314","Glucosidase 2 subunit beta","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"GLAST","P43003","Excitatory amino acid transporter 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"GLAST1","P43003","Excitatory amino acid transporter 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"GLUT1","P11166","Solute carrier family 2, facilitated glucose transporter member 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"GNAI1","P63096","Guanine nucleotide-binding protein G(i) subunit alpha-1","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"GNB1","P62873","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"GNG2","P59768","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"HCKID","P48730","Casein kinase I isoform delta","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"HTR1EL","P30939","5-hydroxytryptamine receptor 1F","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"HTR1F","P30939","5-hydroxytryptamine receptor 1F","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"KCNK10","P57789","Potassium channel subfamily K member 10","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"KCNK18","Q7Z418","Potassium channel subfamily K member 18","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"KCNK2","O95069","Potassium channel subfamily K member 2","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"KIAA0778","P50993","Sodium/potassium-transporting ATPase subunit alpha-2","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"KIAA1527","Q96QP1","Alpha-protein kinase 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"LAK","Q96QP1","Alpha-protein kinase 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"LIG3","P49916","DNA ligase 3","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"NAC1","P35498","Sodium channel protein type 1 subunit alpha","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"PEX11B","O96011","Peroxisomal membrane protein 11B","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"PRKCSH","P14314","Glucosidase 2 subunit beta","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"PRRT2","Q7Z6L0","Proline-rich transmembrane protein 2","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"RNF88","Q9C035","Tripartite motif-containing protein 5","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"SCN1","P35498","Sodium channel protein type 1 subunit alpha","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"SCN1A","P35498","Sodium channel protein type 1 subunit alpha","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"SCN5A","Q14524","Sodium channel protein type 5 subunit alpha","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"SLC1A3","P43003","Excitatory amino acid transporter 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"SLC2A1","P11166","Solute carrier family 2, facilitated glucose transporter member 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"TREK","O95069","Potassium channel subfamily K member 2","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"TREK1","O95069","Potassium channel subfamily K member 2","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"TREK2","P57789","Potassium channel subfamily K member 10","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"TRESK","Q7Z418","Potassium channel subfamily K member 18","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"TREX1","Q9NSU2","Three-prime repair exonuclease 1","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"TRIK","Q7Z418","Potassium channel subfamily K member 18","UniProt","(cc_disease:""migraine"") AND (organism_id:9606) AND (reviewed:true)"
"TRIM5","Q9C035","Tripartite motif-containing protein 5","UniProt","(""migraine"") AND (organism_id:9606) AND (reviewed:true)"
